id,project_name,job_name,workflow_name,step,labels
9260,andreynovikov/trekarta,Analyze,CodeQL,Autobuild,['ubuntu-latest']
9266,andreynovikov/trekarta,Run Unit Tests,Android CI,Execute unit tests,['ubuntu-latest']
9290,airlift/airlift,"build (21, 21, true)",ci,Maven Tests,['ubuntu-latest']
9309,sap/cloud-security-services-integration-library,Security rating,Fosstars (Security),Build SAP/fosstars-rating-core-action@v1.10.0,['ubuntu-latest']
9329,wildmountainfarms/solarthing,build,Spotless Check,Spotless check,['ubuntu-latest']
9339,tlaplus/tlaplus,build,PullRequest builder TLA+,Smoke-test large tlaplus/examples models,['ubuntu-latest']
9352,googlecloudplatform/dataflowtemplates,Dataflow Templates Integration Tests,Java PR,Run Integration Tests,"['self-hosted', 'it']"
9354,googlecloudplatform/dataflowtemplates,Build,Java PR,Setup Environment,"['self-hosted', 'it']"
9399,shafthq/shaft_engine,build_release_and_deliver,Maven Central Continuous Delivery,Create GitHub Release,['ubuntu-22.04']
9471,eclipse-sw360/sw360,Build and Test,SW360 Build and Test,Build SW360,['ubuntu-latest']
9479,wso2/product-is,build,pr-builder-test,Run PR builder,['ubuntu-latest']
9529,chat2db/chat2db,"release (windows-latest, .exe)",Build Test Client,Enable TLS 1.0 and 1.1 in java.security,['windows-latest']
9544,flyway/flyway,"build (ubuntu-latest, 8)",Build Release Tags,Build with Maven,['ubuntu-latest']
9656,apache/maven,"build (windows-latest, 11)",Can Maven build itself,Build with Maven,['windows-latest']
9671,apache/maven,"build (windows-latest, 17)",Can Maven build itself,Build with Maven,['windows-latest']
9686,pig-mesh/pig,atomgit,__ä»£ç_,Run wearerequired/git-mirror-action@master,['ubuntu-latest']
9713,apache/freemarker,"build (windows-latest, 11)",Java CI,Run actions/setup-java@v3,['windows-latest']
9725,apache/freemarker,build,Ant+Ivy CI,Build with Ant and ivy,['ubuntu-latest']
9728,apache/freemarker,"build (macOS-latest, 8)",Java CI,Run actions/setup-java@v3,['macOS-latest']
9731,apache/freemarker,"build (macOS-latest, 8)",Java CI,Build with Maven,['macOS-latest']
9759,gtiwari333/spring-boot-web-application-sample,build,Java CI with Maven,Build with Maven,['ubuntu-latest']
9840,apache/eventmesh,"Build (macOS-latest, 11, go)",Continuous Integration,Build,['macOS-latest']
9846,apache/eventmesh,"Build (ubuntu-latest, 8, cpp)",Continuous Integration,Build C,['ubuntu-latest']
9875,amazon-ion/ion-java,"Detect Regression (nestedStruct,  write --mode AverageTime --forks 3 --warmups 2 --iterations 10 ...",Ion Java performance regression detector,Detect regression,['ubuntu-latest']
9885,amazon-ion/ion-java,"Detect Regression (nestedStruct,  read --mode AverageTime --forks 3 --warmups 2 --iterations 10 -...",Ion Java performance regression detector,Detect regression,['ubuntu-latest']
9886,amazon-ion/ion-java,"Detect Regression (sexp,  read --mode AverageTime --forks 3 --warmups 2 --iterations 10 --api str...",Ion Java performance regression detector,Detect regression,['ubuntu-latest']
9994,teamnewpipe/newpipeextractor,build-and-test,CI,Build and run Tests,['ubuntu-latest']
10165,consulo/consulo,build,jdk17,Build with Maven,['ubuntu-latest']
10238,phybros/servertap,build,build,Release,['ubuntu-latest']
10254,hyperledger/fabric-sdk-java,main / test (8),Scheduled build,Integration tests,['ubuntu-22.04']
10291,g3g4x5x6/ultimate-cube,Scan,Semgrep,Set up job,['ubuntu-latest']
10327,baidu/bifromq,build,Dev-Build,Build with Maven,['ubuntu-latest']
10344,hyperledger/fabric-gateway-java,scan,Security vulnerability scan,Scan,['ubuntu-22.04']
10354,hyperledger/fabric-gateway-java,scan,Security vulnerability scan,Scan,['ubuntu-22.04']
10390,redis/redis-om-spring,build (ubuntu-latest),Integration,Build,['ubuntu-latest']
10396,mybatis/mybatis-dynamic-sql,"Test JDK 11, ubuntu-latest",Java CI,Test with Maven,['ubuntu-latest']
10444,unleash/unleash-client-java,build (17),.github/workflows/pull_requests.yml,"Build, test, coverage",['ubuntu-latest']
10513,groovy/gmavenplus,ci (2.5.23),GitHub CI,full test,['ubuntu-latest']
10586,grimsi/gameyfin,"Build, Test & Scan",Gameyfin CI Pipeline,Build and analyze,['ubuntu-latest']
10857,dragonwell-project/dragonwell17,macOS x64 (build release),Pre-submit tests,Build,['macos-11']
10928,jonashackt/spring-boot-vuejs,build (17),build,Run mvn -B install --no-transfer-progress,['ubuntu-latest']
10941,jonashackt/spring-boot-vuejs,build (8.0.192),build,Run mvn -B install --no-transfer-progress,['ubuntu-latest']
10965,jonashackt/spring-boot-vuejs,build (8),build,Run mvn -B install --no-transfer-progress,['ubuntu-latest']
11006,casid/jte,"build (17, macOS-latest)",Test all JDKs on all OSes,Run all the Gradle Plugin tests,['macOS-latest']
11010,casid/jte,"build (17, ubuntu-latest)",Test all JDKs on all OSes,Run all the Gradle Plugin tests,['ubuntu-latest']
11027,kafka-ops/julie,Build rpm/deb packages (using maven),Nightly Builds,Publish package,['ubuntu-latest']
11040,kafka-ops/julie,Build rpm/deb packages (using maven),Nightly Builds,Publish package,['ubuntu-latest']
